"Reviews							||"	Sentiment (0=Worst, 5=Neutral 10=Best)
"... It even beats the nasty ""raw"". Almost twenty years old is this sho"	7.0
"Finally, the uncut version of ""Baby Face"" surfaces and from what sourc"	10.0
"""Hatred of a Minute"" is arguably one of the better films to come out o"	3.2
I was surprised at how a movie could be both cheesy and excellent at t	10.0
This is a very dramatic and suspenseful movie. There are many plots an	10.0
One of the less widely lauded of recent Asian period action affairs Go	10.0
A beautiful piece of children's cinema buried in a world of archaic Ce	10.0
Full House came to me when I was about 9. I remember seeing re-runs of	10.0
This is a great example of a rather simple Film Noir story that is han	10.0
Paul Greengrass definitely saved the best Bourne for last! I've heard 	10.0
"""Fido"" is to be commended for taking a tired genre, zombies, and turni"	4.2
I gave it an 8 star rating. The story may have fallen short about 3/4 	9.0
Jackie Chan is considered by many film and martial arts movie fans as 	10.0
A very cute movie with a great background provided by the city of Bost	10.0
The United States was still fighting World War II (the movie was relea	10.0
-A very pretty red headed woman waiting for her plane meets a charming	10.0
My kids recently started watching the reruns of this show - both the e	10.0
I have to say, I loved Vanishing Point. I've seen the original, and th	1.0
I don't know how anyone could hate this movie. It is so funny. It took	2.4
One word can describe this movie and that is weird. I recorded this mo	1.0
Religious bigotry is rampant everywhere. Australia is not immune to it	10.0
Worth watching twice because of the rapid-paced causal shifts among se	5.0
This is a great little film, that's very unique, and creative, with so	10.0
It isn't always easy to explain what a movie is like, but this time I 	1.0
I saw this when it first came to video, my little sister got it as a g	1.0
Hickory Dickory Dock was a good Poirot mystery. I confess I have not r	10.0
"""Pandora's Clock"" is a gripping suspense/thriller that's a cross betwe"	1.1
I happen to like Leslie Howard, in his better films. Yet, for some rea	10.0
After having seen a lot of Greek movies I feel very suspicious against	5.0
In Iran, women are not admitted to soccer games. Officially it's becau	10.0
*Contains spoilers due to me having to describe some film techniques, 	10.0
Ghost Train is a fine and entertaining film, typical of the better Bri	10.0
Or released on DVD or screened on a cable channel like Amer. Life TV n	10.0
Before seeing this, I was put off by the subject matter, but this is n	10.0
Really the tale of two cocky brothers and their respective falls from 	8.9
When I first got my N64 when I was five or six,I fell in love with it,	10.0
Wow, I forgot how great this movie was until I stumbled upon it while 	10.0
This movie was highly entertaining. The soundtrack (Bian Adams) is sim	10.0
What if a platoon of G.I.'s from the Japanese army were to be send bac	1.4
Cosimo (Luis Guzman) ends up in prison for car burglary and there he's	10.0
This film isn't just about a school shooting, in fact its never even s	10.0
This is a very moving picture about 3 forty-something best friends in 	10.0
Like many Americans, I was first introduced to the works of Hayao Miya	1.0
I'm not a follower of a certain movie genre. I classify movies only as	2.6
SPOILERS<br /><br />Tom and Jerry is a classic cartoon, with a flawles	10.0
i liked this film a lot. it's dark, it's not a bullet-dodging, car-cha	1.6
Funny. Sad. Charming. These are all words that floated through my head	10.0
"This, ""Prodigal Son"" and ""Eastern Condors"" are my favourite Sammo Hung"	10.0
At the height of the 'Celebrity Big Brother' racism row in 2007 ( invo	10.0
I've watched this movie a second time to try to figure out why it wasn	1.0
*some spoilers*<br /><br />I was pleasantly surprised to find the hars	10.0
Then you must see this film, to understand the reality. Having read th	10.0
Here's a real weirdo for you. It starts out with another take-off on t	3.4
This film, as low budget as it may be, is one of the best psychologica	10.0
This film has a special place in my heart, as when I caught it the fir	10.0
STAR RATING: ***** The Works **** Just Misses the Mark *** That Little	1.6
Having not seen all the films released in 2002, I can't say that this 	1.7
OK...this one's a weirdy....Honestly, I can't tell you all the inner p	1.0
This is a VERY entertaining movie. A few of the reviews that I have re	1.0
Saw this movie on its release and have treasured it since. What a wond	10.0
Those who only remember the late Sir Peter Ustinov as Hercule Poirot o	10.0
I enjoyed this movie,and after watching it,it made me wonder just how 	9.7
First things first! This isn't an action movie although there is a lot	3.3
Academy Award winner Robert Redford (Best Director. Ordinary People 19	10.0
There are too many new styles of the sitcom but the one that works bes	10.0
We fans of Ed Wood tend to be an obsessive bunch in the first place, b	2.0
I saw this film with a special screening of the work of Owen Alik Shah	10.0
I read all of Nancy Drew as a preteen and collect the books as a grown	10.0
"This would have worked a lot better if it had been made as ""Mitchell i"	1.0
I have complained to ABC about the cancellation of six degrees. If eno	1.9
EL MAR is a tough, stark, utterly brilliant, brave work of cinematic a	9.3
Hardcastle and McCormick is an excellent TV show. <br /><br />Yes, it 	10.0
I've read a lot of comments about the film and how it's so hard for pe	10.0
This film came out 12 years years ago, and was a revelation even for p	1.6
Lavish production values and solid performances in this straightforwar	10.0
Sarafina was a fun movie, and some of the songs were really great. Sar	2.6
Maybe the greatest film ever about jazz.<br /><br />It IS jazz.<br /><	7.2
This highly underrated film is (to me) what good writing in a movie sh	2.6
I saw this movie once in or close to its release year 36 years ago (19	4.8
Elisha Cuthbert plays Sue a fourteen year old girl who has lost her mo	10.0
This film is one of those that has a resounding familiarity to it. It 	9.9
Definitely spoilers in this review! I **adore** American Gothic and ha	1.0
Yaitate!! Japan is a really fun show and I really like it! It was show	10.0
Cannot believe my eyes when read quite a bunch of other comments and r	1.0
In my mind the best of the Ealing comedies and one of my favourite fil	10.0
VIVAH in my opinion is the best movie of 2006, coming from a director 	10.0
This was a great movie with a good story. My children (10, 7, 5, and 4	9.4
I really enjoyed this film because I have a tremendous interest in Ame	10.0
"""The Lion King"" is without a doubt my favorite Disney movie of all tim"	1.1
"""Gespenster"" Question of to be cool in the German cinema<br /><br />Th"	3.7
'Cry Freedom' is a movie about how far people will go to find the trut	7.0
I really thought they did an *excellent* job, there was nothing wrong 	2.3
When I think of Return of the Jedi I think epic. Yeah Ewoks were in th	10.0
I'd waited for some years before this movie finally got released in En	10.0
A true anomaly in the French cinema ,this despairing work has no equiv	7.3
this isn't 'Bonnie and Clyde' or 'Thelma and Louise' but it is a fine 	10.0
What starts out as a very predictable and somewhat drab affair is in t	1.6
An absurdly hilarious and strikingly human tale of the jealousies and 	10.0
******* SPOILER! ********<br /><br />i saw this gr8 film a few years b	10.0
This show was great, it wasn't just for kids which I thought at first,	10.0
This is one of the best of the genre. I saw it twice about 25yrs ago a	10.0
This unpretentious Horror film is probably destined to become a cult c	2.2
Finally got to see this classic TV movie on an unofficial disc recorde	10.0
I was hooked from beginning to end. Great horror comes from disturbing	1.0
Otto Preminger, completing a noir cycle at Twentieth Century Fox, reun	10.0
In Northeastern of Brazil, the father of the twelve years old illitera	10.0
"Coming of age movies are quite usual these days. For 1980, ""Foxes"" rea"	10.0
I was up late flipping cable channels one night and ran into this movi	1.0
I loved this mini series. Tara Fitzgerald did an incredible job portra	10.0
Not really a big box office draw, but I was pleasently surprised<br />	6.4
I watched FIDO on some movie channel and I have to say that I've becom	3.5
Watching the commercials for this movie, I was fairly convinced that I	1.0
This movie captures the essence of growing up in smalltown America for	10.0
I have read with great interest the only available comment made before	10.0
Personnaly I really loved this movie, and it particularly moved me. Th	10.0
I really enjoyed this movie and it was a little difficult do that when	6.3
This film would usually classify as the worst movie production ever. E	2.3
This movie is simply awesome.It was a very sensitive issue and movie w	4.3
Midnight Cowboy is not for everybody. It's raw, painful, and realistic	10.0
This is a must see for anybody who loves thriller's specially politica	5.0
Delightful film directed by some of the best directors in the industry	10.0
The most important thing about this movie is the brilliant performance	8.8
I would almost give it 10 out of 10. However, there are some confusing	10.0
If your idea of a thriller is car chases, explosions, and dozens of pe	1.0
If in the 90's you're adapting a book written in the 50's, set the blo	3.5
I was very surprised with this film. I was touched with the lives that	8.7
This has to be the best adaptation I have seen it's my favourite and I	10.0
This film quite literally has every single action movie cliche and all	1.7
Bunny Comes Home 'This Man's Navy' deserves more credit than it gets, 	10.0
Loosely intended as a satire of D.W. Griffith's Intolerance, The Three	10.0
This supernatural Peter Weir thriller is truly one of the most hauntin	10.0
A film that dramatized an understandable reluctance to face the inevit	6.3
Jörg Buttgereit goes a bit too far with his movies and themes at times	10.0
Dark Angel is a cross between Huxley's Brave New World and Percy's Lov	10.0
The sexploitation movie era of the late sixties and early seventies be	10.0
Tarzan and his mate(1934) was the only Tarzan movie I didn't see when 	1.0
This is a racist movie, but worthy of study and enjoyment. First time 	4.2
What was there about 1939 that helped produce so many excellent Hollyw	10.0
This film has a lot of strong points. It has one of the best horror ca	1.0
hi, im scott (A.K.A woody7739) i Love the film Twisted Desire, And i l	5.6
"These are excerpts from a nine-page ""Memo to Mr. Cohn from Mr. Welles"""	1.0
It's funny. It's not Arthur Miller or T.S. Elliot, but man this is fun	10.0
Sometimes I just want to laugh. Don't you? No analyzing, no critiquing	3.2
There isn't a whole lot going on in this story -- just two men employi	5.8
Visconti's first film has all his trademark visual flair and immaculat	10.0
This movie was directed by Victor Nunez who also wrote the screenplay 	10.0
"So one person says, ""This movie is a beautiful, delicate exploration o"	10.0
Joseph H. Lewis was one of the finest directors of film noir. This is 	5.0
This film is wonderful in every way that modern action adventures are 	10.0
I must give How She Move a near-perfect rating because the content is 	9.1
The movie was a long awaited release, which where a bit disappointing 	1.4
After the success of the second instalment, Richard Curtis and Ben Elt	10.0
Another Aussie masterpiece, this delves into the world of the unknown 	10.0
Ah, Domino is actually a breath of fresh air, something new to the cin	10.0
This is comedy as it once was and comparing this with the two remakes,	10.0
This is movie is very touching. I don't care what people say about thi	10.0
Bell, Book and Candle was one of the great pop culture phenomena of th	10.0
I watched the show 10 years ago and loved it!!! Am now in possession o	10.0
"""The Notorious Bettie Page"" is about a woman who always wanted to be a"	10.0
This film has some of the greatest comedic dialog and memorable quotes	2.3
'Stanley and Iris' show the triumph of the human spirit. For Stanley, 	10.0
This series got me into Deighton's writing and the genre when I was yo	10.0
It's really annoying when good movies like this one go unnoticed. But 	10.0
I approached this film with low expectations but was very pleasantly s	10.0
For starters, I didn't even know about this show since a year or so be	5.9
Why has this not been released? I kind of thought it must be a bit rub	4.3
Twelve Monkeys is an insane time-travelling, action packed movie that 	10.0
When I saw this movie a few days ago, my eyes were completely fixed to	10.0
Heh, if I tell you to compare The Dark Knight with some 18-years-old c	1.0
Kim Basinger stars as Della, a housewife who has twin children (Terri 	1.0
Mardi Gras: Made in china is an excellent movie that depicts how two c	3.6
'Presque Rien' ('Come Undone') is an earlier work by the inordinately 	10.0
I had just reached thirteen when I first saw this series and I am watc	3.9
I remember seeing this movie when I was about 7; and at the time it sh	1.0
I only know of one other movie that could possibly compete with Openin	10.0
Marie: You are smooth. Dan: No, I'm not smooth. I'm Dan.<br /><br />If	1.0
I have always been a huge James Bond fanatic! I have seen almost all o	10.0
IN COLD BLOOD is masterfully directed and adapted by Richard Brooks. H	10.0
What can i say about the first film ever?<br /><br />You can't rate th	2.7
As of this writing John Carpenter's 'Halloween' is nearing it's 30th a	9.8
Gus Van Sant has made some excellent films. I truly am a fan.<br /><br	10.0
Whatever you become in your life,you must never forget that you have r	10.0
Obviously, there wasn't a huge budget for this film which definitely h	10.0
Ashanti is a very 70s sort of film (1979, to be precise). It reminded 	2.1
The story-line was rather interesting, but the characters were rather 	3.6
This movie took my breath away at some points, I simply loved it! <br 	10.0
Some war movies succeed where others do not, and that can be judged fr	10.0
Michael Curtiz directed this 1930 very-stylish whodunit from a script 	10.0
Ah, the best and funniest movie about female football fans, only sligh	1.0
saw this in preview- great movie- wonderful characterizations- witty a	10.0
"The Finnish version of Robert Altman's ""Short Cuts"", set in the small "	10.0
The story of Cinderella is one of my favorites from Charles Perrault, 	10.0
The trailer for this movie didn't do the movie justice. And while the 	2.6
Though not seen in too many films prior, you have certainly seen the b	10.0
WHEN I first saw this film, in London, in 1958, I was bowled over. I h	9.6
"""Jake Speed"" is a fine movie with a wonderful message. It has its flaw"	1.0
Riff Randell is a wildly, obsessed fan of the rock group; The Ramones 	10.0
Both my friend and I thought this movie was well done. We expected a l	10.0
As this movie is completely in Swiss dialect, it's probably hard for m	10.0
This movie is a perfect portrayal of The Nutcracker; the dancing is wo	1.2
For a comedy this has a decent and inventive plot and Trey Parker and 	6.7
for whoever play games video games here did anybody notice that the GT	10.0
I have read modesty Blaise for several years now, collecting numbers o	1.0
I still wonder why I watched this movie. Admittedly, before I viewed t	4.3
"Errol Flynn is ""Gentleman Jim"" in this 1942 film about boxer Jim Corbe"	10.0
It's hard for me to criticize anything that Mitzi Kapture does. She ju	1.0
"Has anyone been able to buy this movie? My Uncle ""Hutch"" was a Real (n"	1.0
"A comedy that worked surprisingly well was the little British effort """	2.3
Other than Susan Hayward's wooden delivery throughout this film it was	10.0
This is an absurdist dark comedy from Belgium. Shot perfectly in crisp	10.0
This game was really great and quite a challenge. It has a great, spoo	10.0
This movie is finally out on DVD in Italy (completely restored). I hav	1.1
Sometimes it takes a film-making master like Kubrick to bring that ext	10.0
"This is truly one from the ""Golden Age"" of Hollywood, the kind they do"	10.0
I first saw the trailer for Frailty on Yahoo Movies way back in the da	10.0
"It is a rare occasion when I want to see a movie again. ""The Amati Gir"	2.8
FORBIDDEN PLANET is one of the best examples of Hollywood SF films. It	4.6
I enjoyed every moment of this beautiful film and was intrigued about 	10.0
I haven't read this book, but all through the movie I was awestruck wi	10.0
This movie is a great way for the series to finally end. Peter (the bo	3.6
"Pegg has had a few hits in the past few years, starting with ""Shaun Of"	10.0
The Sopranos is arguably the greatest show in Dramatic Television hist	10.0
<br /><br />Human Body --- WoW.<br /><br />There are about 27,000 Sunr	10.0
Skippy from Family Ties goes from clean-cut to metal kid in this fairl	5.0
Meryl Streep is excellent in her nuanced and stoic performance as the 	3.9
I gave this film 10 not because it is a superbly consistent movie, but	10.0
"""Father of the Pride "" was another of those good shows that unfortunat"	10.0
War Inc. is a funny but strange film. The actors are likable, the film	10.0
Terrfic film with a slightyly slow start - give it a chance to start c	10.0
Four macho rough'n'tumble guys and three sexy gals venture into a remo	6.6
**** = A masterpiece to be recorded in the books and never forgotten<b	1.3
It was a bit bizarre and evil and i enjoyed it a lot, the characters i	10.0
An inventive, suspenseful exercise in claustrophobia. A Japanese thril	10.0
Trudy Lintz (Rene Russo) was one very fortunate lady many years ago. S	10.0
My definition of a great movie is if you want to continue to see it ov	10.0
Robert Urich was a fine actor, and he makes this TV movie believable. 	10.0
It's hard to find an outright bad historical drama that's based on the	10.0
"With films like ""Wallace & Gromit"" and ""Chicken Run"" under their belt,"	2.3
Before the regular comments, my main curiosity about THIS IS NOT A LOV	9.6
I recently found a copy for $5 at a video store, and snapped it up eag	10.0
I only wish that Return of the Jedi, have been directed by somebody el	1.8
What can i say about this movie? I have seen it quite a few times sinc	10.0
This isn't exactly a great film, but I admire the writers and director	1.0
Creature Comforts in America should have been released on a different 	1.4
Eddie Murphy really made me laugh my ass off on this HBO stand up come	10.0
I believe this is the most powerful film HBO Pictures has made to date	10.0
My favorite movie. What a great story this really was. I'd just like t	9.5
It's rare that I sit down in front of the TV specifically to watch a p	10.0
"While originally reluctant to jump on the bandwagon of watching ""Lost"""	4.4
Emory is a Cincinatti steel worker like his father before him and for 	6.0
Astounding.....This may have been A poor attempt at remaking the alrea	10.0
I loved Long Way Round and wasn't even aware of Race to Dakar until i 	10.0
This movie is very entertaining, and any critique is based on personal	2.3
Deeply humorous yet honest comedy about a bunch of grownups (Bill Paxt	5.6
Most people who chase after movies featuring Audrey Tautou seem to not	10.0
Besides the fact that it was one of the few movies that I ever shed a 	2.2
One of my favourite films. It has everything - rocking soundtrack, cou	4.2
A somewhat fictionalized biographical portrait of Abraham Lincoln's ea	10.0
"""Footlight Parade"" is just one of several wonderfully jaunty musicals "	10.0
Upon seeing this film once again it appeared infinitely superior to me	8.9
"I saw this movie back in 1984, we first started watching ""This Is Spin"	1.0
First-time director Tom Kiesche turns in a winning film in the spirit 	9.8
I really liked Tom Barman's AWTWB. You just have to let it come over y	4.2
This film was the first British teen movie to actually address the rea	10.0
"For what it is, ""Raising Victor Vargas"" is about as close to perfectio"	10.0
OK here is how I do this. I grade movies on 10 components. Each compon	10.0
Based on Christy Brown's autobiographical novel, this endearing film t	10.0
About 1986 I saw this movie by accident on TV one night. I was 6 years	1.0
We saw this at one of the local art movie theaters in the Montrose are	10.0
"This is an early film ""Pilot"" for the hit Canadian tv show Trailer Par"	1.0
`Mad Dog' Earle is back, along with his sad-sack moll Marie, and that 	4.6
After seeing 'Break a Leg' in Vancouver at the release party I thought	1.9
This is what the musical genre was made of. Humor, talent, romance, an	10.0
Any film in the early days of Orson Welles is a triumph all the way to	10.0
Cillian Murphy and Rachel McAdams star in this action/thriller written	1.0
Fire And Ice is an animated film set in a fantasy world. The film is a	10.0
I'm not sure how I missed this one when it first came out, but I am gl	10.0
This is the most confronting documentary I have ever seen. It was a si	5.0
Surprised to see the rather low score for this movie. Just saw this fi	10.0
"This movie is not for everyone. You're either bright enough to get ""it"	6.9
When a movie shocks you with it's disturbing, brooding atmosphere, and	2.6
Who doesn't have unresolved issues with parents? And which parents don	10.0
A series of vignettes, most of them spoofing television of the 1970's,	2.9
And I gave it a high 7.....<br /><br />Why? Because it bloody well roc	9.9
How anyone can say this is bad is beyond me. I loved this show before 	1.0
There are 21 comments as I add mine to this list and there is barely a	5.0
The filming is pleasant and the environment is keenly realistic. I lik	10.0
I saw this film on television and fascinated by the beauty of Jennifer	1.8
Fritz Lang's German medieval saga continues in Die Nibelungen: Kriemhi	10.0
...........as I was when I saw this movie) I will never watch this mov	2.8
When I was chairman of our college's coffeehouse, one of our jobs was 	10.0
"I don't know whether to recommend this movie to the fans of "" Tetsuo """	1.2
The Haunted World of Edward D. Wood, Jr. isn't a particularly good doc	2.5
Madhur Bhandarkar directs this film that is supposed to expose the lif	4.4
This was fun to watch, spookily atmospheric and effects were pretty go	2.3
This movie's origins are a mystery to me, as I only know as much as IM	1.0
the town of Royston Vasey is a weird, but wonderful place. The charact	6.6
1.) This movie was amazing! I watched it while I was in the town next 	10.0
Half a dozen short stories of varying interest enlighten us about life	10.0
I'm one of those people who usually watch programs and keep my feeling	10.0
The reason why I say this is because I wrote the screenplay and knew v	1.1
This is a good movie, but it is not recommended if you don't like inte	2.1
This movie, which starts out with a interesting opening of two hot blo	10.0
I went to see Fever Pitch with my Mom, and I can say that we both love	5.0
This is apparently the second remake of this film, having been filmed 	1.9
